start_time,end_time,section,count,percentage
2018-09-01 12:00:00,2018-09-01 13:00:00,南新路,12,52.2%
2018-09-01 12:00:00,2018-09-01 13:00:00,后海大道辅道(后海段),37,46.3%
2018-09-01 12:00:00,2018-09-01 13:00:00,后海大道辅道(蛇口北段),5,8.6%
2018-09-01 12:00:00,2018-09-01 13:00:00,四海路,27,49.1%
2018-09-01 12:00:00,2018-09-01 13:00:00,学府路(前海段),7,63.6%
2018-09-01 12:00:00,2018-09-01 13:00:00,工业九路,25,50.0%
2018-09-01 12:00:00,2018-09-01 13:00:00,常兴路,40,60.6%
2018-09-01 12:00:00,2018-09-01 13:00:00,招商路(蛇口西段),41,67.2%
2018-09-01 12:00:00,2018-09-01 13:00:00,文心一路,12,92.3%
2018-09-01 12:00:00,2018-09-01 13:00:00,文心三路,10,83.3%
2018-09-01 12:00:00,2018-09-01 13:00:00,文心二路,29,96.7%
2018-09-01 12:00:00,2018-09-01 13:00:00,文心五路,13,92.9%
2018-09-01 12:00:00,2018-09-01 13:00:00,文心六路,51,87.9%
2018-09-01 12:00:00,2018-09-01 13:00:00,文心四路,22,91.7%
2018-09-01 12:00:00,2018-09-01 13:00:00,海德一道,44,86.3%
2018-09-01 12:00:00,2018-09-01 13:00:00,海德一道(后海湾段),3,11.5%
2018-09-01 12:00:00,2018-09-01 13:00:00,海德三道,38,82.6%
2018-09-01 12:00:00,2018-09-01 13:00:00,海德二道,37,88.1%
2018-09-01 12:00:00,2018-09-01 13:00:00,海德二道（南油段）,22,48.9%
2018-09-01 12:00:00,2018-09-01 13:00:00,海月路(东段),10,52.6%
2018-09-01 12:00:00,2018-09-01 13:00:00,登良路,25,86.2%
2018-09-01 12:00:00,2018-09-01 13:00:00,科技南一路,6,6.5%
2018-09-01 12:00:00,2018-09-01 13:00:00,科技南十二路,8,80.0%
2018-09-01 12:00:00,2018-09-01 13:00:00,科技南十路,27,93.1%
2018-09-01 12:00:00,2018-09-01 13:00:00,科技南路,35,40.2%
2018-09-01 12:00:00,2018-09-01 13:00:00,荔园路(蛇口东段),25,46.3%
2018-09-01 12:00:00,2018-09-01 13:00:00,荔园路(蛇口西段),41,58.6%
2018-09-01 12:00:00,2018-09-01 13:00:00,金世纪路,10,52.6%
2018-09-01 12:00:00,2018-09-01 13:00:00,高新南七道,20,48.8%
2018-09-01 12:00:00,2018-09-01 13:00:00,高新南三道,17,81.0%
2018-09-01 12:00:00,2018-09-01 13:00:00,高新南九道,10,38.5%
2018-09-01 12:00:00,2018-09-01 13:00:00,高新南五道,5,27.8%
2018-09-01 12:00:00,2018-09-01 13:00:00,高新南十一道,18,30.0%
2018-09-01 12:00:00,2018-09-01 13:00:00,高新南十道,13,17.8%
2018-09-01 12:00:00,2018-09-01 13:00:00,高新南四道,21,80.8%
2018-09-01 12:00:00,2018-09-01 13:00:00,高新南环路,54,22.5%
2018-09-01 12:00:00,2018-09-01 13:00:00,龙城路,22,71.0%
2018-09-01 13:00:00,2018-09-01 14:00:00,中心路(后海湾段),32,50.8%
2018-09-01 13:00:00,2018-09-01 14:00:00,创业路(南油段),17,23.6%
2018-09-01 13:00:00,2018-09-01 14:00:00,创业路(后海湾段),8,44.4%
2018-09-01 13:00:00,2018-09-01 14:00:00,创业路辅道,23,53.5%
2018-09-01 13:00:00,2018-09-01 14:00:00,华明路,2,66.7%
2018-09-01 13:00:00,2018-09-01 14:00:00,南头街,21,100.0%
2018-09-01 13:00:00,2018-09-01 14:00:00,南新路,13,56.5%
2018-09-01 13:00:00,2018-09-01 14:00:00,后海大道辅道(后海段),36,45.0%
2018-09-01 13:00:00,2018-09-01 14:00:00,后海大道辅道(蛇口北段),4,6.9%
2018-09-01 13:00:00,2018-09-01 14:00:00,四海路,27,49.1%
2018-09-01 13:00:00,2018-09-01 14:00:00,学府路(前海段),7,63.6%
2018-09-01 13:00:00,2018-09-01 14:00:00,工业九路,25,50.0%
2018-09-01 13:00:00,2018-09-01 14:00:00,常兴路,32,48.5%
2018-09-01 13:00:00,2018-09-01 14:00:00,招商路(蛇口西段),37,60.7%
2018-09-01 13:00:00,2018-09-01 14:00:00,文心一路,9,69.2%
2018-09-01 13:00:00,2018-09-01 14:00:00,文心三路,9,75.0%
2018-09-01 13:00:00,2018-09-01 14:00:00,文心二路,25,83.3%
2018-09-01 13:00:00,2018-09-01 14:00:00,文心五路,12,85.7%
2018-09-01 13:00:00,2018-09-01 14:00:00,文心六路,49,84.5%
2018-09-01 13:00:00,2018-09-01 14:00:00,文心四路,22,91.7%
2018-09-01 13:00:00,2018-09-01 14:00:00,海德一道,42,82.4%
2018-09-01 13:00:00,2018-09-01 14:00:00,海德一道(后海湾段),2,7.7%
2018-09-01 13:00:00,2018-09-01 14:00:00,海德三道,32,69.6%
2018-09-01 13:00:00,2018-09-01 14:00:00,海德二道,37,88.1%
2018-09-01 13:00:00,2018-09-01 14:00:00,海德二道（南油段）,22,48.9%
2018-09-01 13:00:00,2018-09-01 14:00:00,海月路(东段),5,26.3%
2018-09-01 13:00:00,2018-09-01 14:00:00,登良路,22,75.9%
2018-09-01 13:00:00,2018-09-01 14:00:00,科技南一路,10,10.9%
2018-09-01 13:00:00,2018-09-01 14:00:00,科技南十二路,10,100.0%
2018-09-01 13:00:00,2018-09-01 14:00:00,科技南十路,14,48.3%
2018-09-01 13:00:00,2018-09-01 14:00:00,科技南路,21,24.1%
2018-09-01 13:00:00,2018-09-01 14:00:00,荔园路(蛇口东段),12,22.2%
2018-09-01 13:00:00,2018-09-01 14:00:00,荔园路(蛇口西段),41,58.6%
2018-09-01 13:00:00,2018-09-01 14:00:00,金世纪路,7,36.8%
2018-09-01 13:00:00,2018-09-01 14:00:00,高新南七道,13,31.7%
2018-09-01 13:00:00,2018-09-01 14:00:00,高新南三道,14,66.7%
2018-09-01 13:00:00,2018-09-01 14:00:00,高新南九道,6,23.1%
2018-09-01 13:00:00,2018-09-01 14:00:00,高新南五道,2,11.1%
2018-09-01 13:00:00,2018-09-01 14:00:00,高新南十一道,15,25.0%
2018-09-01 13:00:00,2018-09-01 14:00:00,高新南十道,12,16.4%
2018-09-01 13:00:00,2018-09-01 14:00:00,高新南四道,20,76.9%
2018-09-01 13:00:00,2018-09-01 14:00:00,高新南环路,40,16.7%
2018-09-01 13:00:00,2018-09-01 14:00:00,龙城路,24,77.4%
2018-09-01 14:00:00,2018-09-01 15:00:00,中心路(后海湾段),33,52.4%
2018-09-01 14:00:00,2018-09-01 15:00:00,创业路(南油段),19,26.4%
2018-09-01 14:00:00,2018-09-01 15:00:00,创业路(后海湾段),5,27.8%
2018-09-01 14:00:00,2018-09-01 15:00:00,创业路辅道,25,58.1%
2018-09-01 14:00:00,2018-09-01 15:00:00,华明路,3,100.0%
2018-09-01 14:00:00,2018-09-01 15:00:00,南头街,18,85.7%
2018-09-01 14:00:00,2018-09-01 15:00:00,南新路,11,47.8%
2018-09-01 14:00:00,2018-09-01 15:00:00,后海大道辅道(后海段),41,51.2%
2018-09-01 14:00:00,2018-09-01 15:00:00,后海大道辅道(蛇口北段),4,6.9%
2018-09-01 14:00:00,2018-09-01 15:00:00,四海路,28,50.9%
2018-09-01 14:00:00,2018-09-01 15:00:00,学府路(前海段),7,63.6%
2018-09-01 14:00:00,2018-09-01 15:00:00,工业九路,25,50.0%
2018-09-01 14:00:00,2018-09-01 15:00:00,常兴路,30,45.5%
2018-09-01 14:00:00,2018-09-01 15:00:00,招商路(蛇口西段),31,50.8%
2018-09-01 14:00:00,2018-09-01 15:00:00,文心一路,12,92.3%
2018-09-01 14:00:00,2018-09-01 15:00:00,文心三路,9,75.0%
2018-09-01 14:00:00,2018-09-01 15:00:00,文心二路,25,83.3%
2018-09-01 14:00:00,2018-09-01 15:00:00,文心五路,14,100.0%
2018-09-01 14:00:00,2018-09-01 15:00:00,文心六路,48,82.8%
2018-09-01 14:00:00,2018-09-01 15:00:00,文心四路,20,83.3%
2018-09-01 14:00:00,2018-09-01 15:00:00,海德一道,42,82.4%
2018-09-01 14:00:00,2018-09-01 15:00:00,海德一道(后海湾段),3,11.5%
2018-09-01 14:00:00,2018-09-01 15:00:00,海德三道,35,76.1%
2018-09-01 14:00:00,2018-09-01 15:00:00,海德二道,38,90.5%
2018-09-01 14:00:00,2018-09-01 15:00:00,海德二道（南油段）,21,46.7%
2018-09-01 14:00:00,2018-09-01 15:00:00,海月路(东段),9,47.4%
2018-09-01 14:00:00,2018-09-01 15:00:00,登良路,22,75.9%
2018-09-01 14:00:00,2018-09-01 15:00:00,科技南一路,13,14.1%
2018-09-01 14:00:00,2018-09-01 15:00:00,科技南十二路,9,90.0%
2018-09-01 14:00:00,2018-09-01 15:00:00,科技南十路,9,31.0%
2018-09-01 14:00:00,2018-09-01 15:00:00,科技南路,20,23.0%
2018-09-01 14:00:00,2018-09-01 15:00:00,荔园路(蛇口东段),22,40.7%
2018-09-01 14:00:00,2018-09-01 15:00:00,荔园路(蛇口西段),38,54.3%
2018-09-01 14:00:00,2018-09-01 15:00:00,金世纪路,5,26.3%
2018-09-01 14:00:00,2018-09-01 15:00:00,高新南七道,13,31.7%
2018-09-01 14:00:00,2018-09-01 15:00:00,高新南三道,6,28.6%
2018-09-01 14:00:00,2018-09-01 15:00:00,高新南九道,12,46.2%
2018-09-01 14:00:00,2018-09-01 15:00:00,高新南五道,3,16.7%
2018-09-01 14:00:00,2018-09-01 15:00:00,高新南十一道,22,36.7%
2018-09-01 14:00:00,2018-09-01 15:00:00,高新南十道,11,15.1%
2018-09-01 14:00:00,2018-09-01 15:00:00,高新南四道,19,73.1%
2018-09-01 14:00:00,2018-09-01 15:00:00,高新南环路,50,20.8%
2018-09-01 14:00:00,2018-09-01 15:00:00,龙城路,29,93.5%
2018-09-01 15:00:00,2018-09-01 16:00:00,中心路(后海湾段),36,57.1%
2018-09-01 15:00:00,2018-09-01 16:00:00,创业路(南油段),21,29.2%
2018-09-01 15:00:00,2018-09-01 16:00:00,创业路(后海湾段),3,16.7%
2018-09-01 15:00:00,2018-09-01 16:00:00,创业路辅道,37,86.0%
2018-09-01 15:00:00,2018-09-01 16:00:00,华明路,3,100.0%
2018-09-01 15:00:00,2018-09-01 16:00:00,南头街,18,85.7%
2018-09-01 15:00:00,2018-09-01 16:00:00,南新路,9,39.1%
2018-09-01 15:00:00,2018-09-01 16:00:00,后海大道辅道(后海段),46,57.5%
2018-09-01 15:00:00,2018-09-01 16:00:00,后海大道辅道(蛇口北段),4,6.9%
2018-09-01 15:00:00,2018-09-01 16:00:00,四海路,26,47.3%
2018-09-01 15:00:00,2018-09-01 16:00:00,学府路(前海段),7,63.6%
2018-09-01 15:00:00,2018-09-01 16:00:00,工业九路,29,58.0%
2018-09-01 15:00:00,2018-09-01 16:00:00,常兴路,42,63.6%
2018-09-01 15:00:00,2018-09-01 16:00:00,招商路(蛇口西段),31,50.8%
2018-09-01 15:00:00,2018-09-01 16:00:00,文心一路,11,84.6%
2018-09-01 15:00:00,2018-09-01 16:00:00,文心三路,10,83.3%
2018-09-01 15:00:00,2018-09-01 16:00:00,文心二路,29,96.7%
2018-09-01 15:00:00,2018-09-01 16:00:00,文心五路,13,92.9%
2018-09-01 15:00:00,2018-09-01 16:00:00,文心六路,50,86.2%
2018-09-01 15:00:00,2018-09-01 16:00:00,文心四路,21,87.5%
2018-09-01 15:00:00,2018-09-01 16:00:00,海德一道,43,84.3%
2018-09-01 15:00:00,2018-09-01 16:00:00,海德一道(后海湾段),4,15.4%
2018-09-01 15:00:00,2018-09-01 16:00:00,海德三道,36,78.3%
2018-09-01 15:00:00,2018-09-01 16:00:00,海德二道,37,88.1%
2018-09-01 15:00:00,2018-09-01 16:00:00,海德二道（南油段）,22,48.9%
2018-09-01 15:00:00,2018-09-01 16:00:00,海月路(东段),11,57.9%
2018-09-01 15:00:00,2018-09-01 16:00:00,登良路,24,82.8%
2018-09-01 15:00:00,2018-09-01 16:00:00,科技南一路,15,16.3%
2018-09-01 15:00:00,2018-09-01 16:00:00,科技南十二路,7,70.0%
2018-09-01 15:00:00,2018-09-01 16:00:00,科技南十路,11,37.9%
2018-09-01 15:00:00,2018-09-01 16:00:00,科技南路,28,32.2%
2018-09-01 15:00:00,2018-09-01 16:00:00,荔园路(蛇口东段),34,63.0%
2018-09-01 15:00:00,2018-09-01 16:00:00,荔园路(蛇口西段),28,40.0%
2018-09-01 15:00:00,2018-09-01 16:00:00,金世纪路,10,52.6%
2018-09-01 15:00:00,2018-09-01 16:00:00,高新南七道,16,39.0%
2018-09-01 15:00:00,2018-09-01 16:00:00,高新南三道,6,28.6%
2018-09-01 15:00:00,2018-09-01 16:00:00,高新南九道,11,42.3%
2018-09-01 15:00:00,2018-09-01 16:00:00,高新南五道,8,44.4%
2018-09-01 15:00:00,2018-09-01 16:00:00,高新南十一道,33,55.0%
2018-09-01 15:00:00,2018-09-01 16:00:00,高新南十道,11,15.1%
2018-09-01 15:00:00,2018-09-01 16:00:00,高新南四道,19,73.1%
2018-09-01 15:00:00,2018-09-01 16:00:00,高新南环路,63,26.3%
2018-09-01 15:00:00,2018-09-01 16:00:00,龙城路,28,90.3%
2018-09-01 16:00:00,2018-09-01 17:00:00,中心路(后海湾段),47,74.6%
2018-09-01 16:00:00,2018-09-01 17:00:00,创业路(南油段),22,30.6%
2018-09-01 16:00:00,2018-09-01 17:00:00,创业路(后海湾段),7,38.9%
2018-09-01 16:00:00,2018-09-01 17:00:00,创业路辅道,40,93.0%
2018-09-01 16:00:00,2018-09-01 17:00:00,华明路,3,100.0%
2018-09-01 16:00:00,2018-09-01 17:00:00,南头街,18,85.7%
2018-09-01 16:00:00,2018-09-01 17:00:00,南新路,11,47.8%
2018-09-01 16:00:00,2018-09-01 17:00:00,后海大道辅道(后海段),51,63.7%
2018-09-01 16:00:00,2018-09-01 17:00:00,后海大道辅道(蛇口北段),3,5.2%
2018-09-01 16:00:00,2018-09-01 17:00:00,四海路,36,65.5%
2018-09-01 16:00:00,2018-09-01 17:00:00,学府路(前海段),6,54.5%
2018-09-01 16:00:00,2018-09-01 17:00:00,工业九路,32,64.0%
2018-09-01 16:00:00,2018-09-01 17:00:00,常兴路,54,81.8%
2018-09-01 16:00:00,2018-09-01 17:00:00,招商路(蛇口西段),38,62.3%
2018-09-01 16:00:00,2018-09-01 17:00:00,文心一路,11,84.6%
2018-09-01 16:00:00,2018-09-01 17:00:00,文心三路,10,83.3%
2018-09-01 16:00:00,2018-09-01 17:00:00,文心二路,29,96.7%
2018-09-01 16:00:00,2018-09-01 17:00:00,文心五路,12,85.7%
2018-09-01 16:00:00,2018-09-01 17:00:00,文心六路,49,84.5%
2018-09-01 16:00:00,2018-09-01 17:00:00,文心四路,22,91.7%
2018-09-01 16:00:00,2018-09-01 17:00:00,海德一道,47,92.2%
2018-09-01 16:00:00,2018-09-01 17:00:00,海德一道(后海湾段),4,15.4%
2018-09-01 16:00:00,2018-09-01 17:00:00,海德三道,36,78.3%
2018-09-01 16:00:00,2018-09-01 17:00:00,海德二道,39,92.9%
2018-09-01 16:00:00,2018-09-01 17:00:00,海德二道（南油段）,21,46.7%
2018-09-01 16:00:00,2018-09-01 17:00:00,海月路(东段),7,36.8%
2018-09-01 16:00:00,2018-09-01 17:00:00,登良路,25,86.2%
2018-09-01 16:00:00,2018-09-01 17:00:00,科技南一路,12,13.0%
2018-09-01 16:00:00,2018-09-01 17:00:00,科技南十二路,8,80.0%
2018-09-01 16:00:00,2018-09-01 17:00:00,科技南十路,6,20.7%
2018-09-01 16:00:00,2018-09-01 17:00:00,科技南路,36,41.4%
2018-09-01 16:00:00,2018-09-01 17:00:00,荔园路(蛇口东段),38,70.4%
2018-09-01 16:00:00,2018-09-01 17:00:00,荔园路(蛇口西段),26,37.1%
2018-09-01 16:00:00,2018-09-01 17:00:00,金世纪路,13,68.4%
2018-09-01 16:00:00,2018-09-01 17:00:00,高新南七道,18,43.9%
2018-09-01 16:00:00,2018-09-01 17:00:00,高新南三道,9,42.9%
2018-09-01 16:00:00,2018-09-01 17:00:00,高新南九道,10,38.5%
2018-09-01 16:00:00,2018-09-01 17:00:00,高新南五道,5,27.8%
2018-09-01 16:00:00,2018-09-01 17:00:00,高新南十一道,31,51.7%
2018-09-01 16:00:00,2018-09-01 17:00:00,高新南十道,12,16.4%
2018-09-01 16:00:00,2018-09-01 17:00:00,高新南四道,20,76.9%
2018-09-01 16:00:00,2018-09-01 17:00:00,高新南环路,80,33.3%
2018-09-01 16:00:00,2018-09-01 17:00:00,龙城路,26,83.9%
2018-09-01 17:00:00,2018-09-01 18:00:00,中心路(后海湾段),52,82.5%
2018-09-01 17:00:00,2018-09-01 18:00:00,创业路(南油段),26,36.1%
2018-09-01 17:00:00,2018-09-01 18:00:00,创业路(后海湾段),7,38.9%
2018-09-01 17:00:00,2018-09-01 18:00:00,创业路辅道,41,95.3%
2018-09-01 17:00:00,2018-09-01 18:00:00,华明路,3,100.0%
2018-09-01 17:00:00,2018-09-01 18:00:00,南头街,17,81.0%
2018-09-01 17:00:00,2018-09-01 18:00:00,南新路,10,43.5%
2018-09-01 17:00:00,2018-09-01 18:00:00,后海大道辅道(后海段),45,56.3%
2018-09-01 17:00:00,2018-09-01 18:00:00,后海大道辅道(蛇口北段),3,5.2%
2018-09-01 17:00:00,2018-09-01 18:00:00,四海路,40,72.7%
2018-09-01 17:00:00,2018-09-01 18:00:00,学府路(前海段),8,72.7%
2018-09-01 17:00:00,2018-09-01 18:00:00,工业九路,35,70.0%
2018-09-01 17:00:00,2018-09-01 18:00:00,常兴路,53,80.3%
2018-09-01 17:00:00,2018-09-01 18:00:00,招商路(蛇口西段),38,62.3%
2018-09-01 17:00:00,2018-09-01 18:00:00,文心一路,12,92.3%
2018-09-01 17:00:00,2018-09-01 18:00:00,文心三路,10,83.3%
2018-09-01 17:00:00,2018-09-01 18:00:00,文心二路,30,100.0%
2018-09-01 17:00:00,2018-09-01 18:00:00,文心五路,12,85.7%
2018-09-01 17:00:00,2018-09-01 18:00:00,文心六路,53,91.4%
2018-09-01 17:00:00,2018-09-01 18:00:00,文心四路,22,91.7%
2018-09-01 17:00:00,2018-09-01 18:00:00,海德一道,47,92.2%
2018-09-01 17:00:00,2018-09-01 18:00:00,海德一道(后海湾段),2,7.7%
2018-09-01 17:00:00,2018-09-01 18:00:00,海德三道,40,87.0%
2018-09-01 17:00:00,2018-09-01 18:00:00,海德二道,39,92.9%
2018-09-01 17:00:00,2018-09-01 18:00:00,海德二道（南油段）,21,46.7%
2018-09-01 17:00:00,2018-09-01 18:00:00,海月路(东段),5,26.3%
2018-09-01 17:00:00,2018-09-01 18:00:00,登良路,22,75.9%
2018-09-01 17:00:00,2018-09-01 18:00:00,科技南一路,8,8.7%
2018-09-01 17:00:00,2018-09-01 18:00:00,科技南十二路,7,70.0%
2018-09-01 17:00:00,2018-09-01 18:00:00,科技南十路,10,34.5%
2018-09-01 17:00:00,2018-09-01 18:00:00,科技南路,45,51.7%
2018-09-01 17:00:00,2018-09-01 18:00:00,荔园路(蛇口东段),29,53.7%
2018-09-01 17:00:00,2018-09-01 18:00:00,荔园路(蛇口西段),20,28.6%
2018-09-01 17:00:00,2018-09-01 18:00:00,金世纪路,16,84.2%
2018-09-01 17:00:00,2018-09-01 18:00:00,高新南七道,13,31.7%
2018-09-01 17:00:00,2018-09-01 18:00:00,高新南三道,8,38.1%
2018-09-01 17:00:00,2018-09-01 18:00:00,高新南九道,7,26.9%
2018-09-01 17:00:00,2018-09-01 18:00:00,高新南五道,6,33.3%
2018-09-01 17:00:00,2018-09-01 18:00:00,高新南十一道,25,41.7%
2018-09-01 17:00:00,2018-09-01 18:00:00,高新南十道,13,17.8%
2018-09-01 17:00:00,2018-09-01 18:00:00,高新南四道,13,50.0%
2018-09-01 17:00:00,2018-09-01 18:00:00,高新南环路,89,37.1%
2018-09-01 17:00:00,2018-09-01 18:00:00,龙城路,26,83.9%
2018-09-01 18:00:00,2018-09-01 19:00:00,中心路(后海湾段),52,82.5%
2018-09-01 18:00:00,2018-09-01 19:00:00,创业路(南油段),40,55.6%
2018-09-01 18:00:00,2018-09-01 19:00:00,创业路(后海湾段),9,50.0%
2018-09-01 18:00:00,2018-09-01 19:00:00,创业路辅道,40,93.0%
2018-09-01 18:00:00,2018-09-01 19:00:00,华明路,2,66.7%
2018-09-01 18:00:00,2018-09-01 19:00:00,南头街,17,81.0%
2018-09-01 18:00:00,2018-09-01 19:00:00,南新路,11,47.8%
